epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,381.679,0.83376,0.96328,1,0.12117,0.000276799,0.000276799,0.000276799
2,765.581,0.2941,0.97188,1,0.08963,0.00052702,0.00052702,0.00052702
3,1376.9,0.27031,0.96328,1,0.11494,0.000749751,0.000749751,0.000749751
4,1751.01,0.26642,0.95469,1,0.14032,0.000709299,0.000709299,0.000709299
5,2105.76,0.21941,0.97734,1,0.08265,0.000668066,0.000668066,0.000668066
6,2483.96,0.18882,0.95,1,0.14733,0.000626832,0.000626832,0.000626832
7,2819.22,0.1666,0.98125,1,0.07319,0.000585599,0.000585599,0.000585599
8,3152.83,0.14578,0.98125,1,0.06807,0.000544365,0.000544365,0.000544365
9,3495.35,0.13044,0.97969,1,0.05913,0.000503132,0.000503132,0.000503132
10,3863.03,0.11507,0.98281,1,0.04931,0.000461898,0.000461898,0.000461898
11,4225.26,0.10136,0.98047,1,0.06019,0.000420665,0.000420665,0.000420665
12,4498.24,0.10083,0.98359,1,0.0491,0.000379431,0.000379431,0.000379431
13,4769.41,0.08548,0.98203,1,0.05185,0.000338198,0.000338198,0.000338198
14,5039.94,0.06754,0.98438,1,0.04345,0.000296964,0.000296964,0.000296964
15,5323.33,0.0605,0.9875,1,0.03557,0.000255731,0.000255731,0.000255731
16,5594.41,0.05226,0.98359,1,0.03691,0.000214497,0.000214497,0.000214497
17,5865.4,0.05081,0.9875,1,0.03323,0.000173264,0.000173264,0.000173264
18,6135.67,0.04837,0.98906,1,0.03341,0.000132031,0.000132031,0.000132031
19,6406.45,0.0385,0.98906,1,0.03305,9.0797e-05,9.0797e-05,9.0797e-05
20,6676.26,0.03793,0.98984,1,0.03192,4.95635e-05,4.95635e-05,4.95635e-05
